comment,user,content,now_time,id,assist,transmit,url
14446,杨紫,"我想我会一直陪着你～[心],又长大了一岁 离退休又近了一步 来干杯[干杯],生日快乐宝宝, ,生日快乐,回复,:略略略嘻嘻嘻嘻嘻嘻,生日快乐[蛋糕][蛋糕][蛋糕],[爱你][爱你],最爱杨紫,补一句生日快乐。希望小紫和小紫的朋友永远快乐下去。么么。[兔子],看了你演的这么多电视剧，还是喜欢你大秧歌的吴若云。,希望你在演艺道路上越走越好,今天是我22岁生日,退休[爱你],左边和颠婆一样的感觉,好期待你可以去演员的诞生去锻炼一下",2017年11月23日 08:01,FwncT07GS,232196,28764,https://weibo.cn/comment/FwncT07GS?uid=1227368500&rl=1
,迷小汉,"某孩跳着脚说这是别人家的小宝宝，不是她 ,",2017年11月26日 10:07,FwQjlwBS6,0,,https://weibo.cn/comment/FwQjlwBS6?uid=1744750381&rl=1
,杨进婚纱造型工作室,"试婚纱的姑娘们约起来,今天约了三个新娘子,还有一整天学员宝宝的课程,今天，我在工作室等你们哦[飞吻], , ,",2017年11月26日 10:07,FwQjkpGrb,0,,https://weibo.cn/comment/FwQjkpGrb?uid=6374346453&rl=1
,鹿枕葛_庄生晓梦,啧啧，把儿子抱出来放桌上，然后打算码字，然后发现。。。是的，基友说的对，不能把宝宝放在电脑跟前[允悲],2017年11月26日 10:06,FwQj5AFai,0,,https://weibo.cn/comment/FwQj5AFai?uid=5648290145&rl=1
,愿你余生不在皱眉,"头一回见我们家二狗子这么用功！！[傻笑][傻笑], ,",2017年11月26日 10:05,FwQiAAbME,1,,https://weibo.cn/comment/FwQiAAbME?uid=5800203054&rl=1
20,摩拜单车东莞,"感受到最近肆意狂吹的冷风了吗？贴心的小编立马来送暖心福利了[围脖]。防霾显瘦的联名款口罩、帅气保暖的联名款围巾、凹造型必备的联名款帆布袋，让你可以更帅气更有范地,[doge] 关注, ，转发此条微博并艾特一位好友，说出你最常用的取暖方法，我们将在11月26日20:00通过, 抽取一位mobiker，送出DC联名款正义骑士装备一套！动动手指这些可能就飞到你家啦！[偷乐],[威武][威武][威武],  ,自己的房间,白天靠空调，晚上靠被子[鼓掌], ,搓手，, ,拿块烤地瓜或者拿包糖炒栗子是最好的取暖方法～ , ,[doge] 防霾显瘦的联名款口罩、帅气保暖的联名款围巾、凹造型必备的联名款帆布袋, ,  被窝里暖和, 躲被子里 哈哈哈,被窝，被窝，最常用！一天8小时以上[二哈][二哈], ,  骑摩拜，可取暖[嘻嘻]",2017年11月24日 12:37,FwyrqBw53,7,28,https://weibo.cn/comment/FwyrqBw53?rl=1
,懿英YIYN,", 【关于纯母乳哺育降低孩子十几岁时的湿疹发病率】我们gonghao推送,这篇文章后，有妈妈留言说：,这个研究简直就是放屁。研究员你随便进个妈妈微信群做个选票调查就知道结果。,懿英的IBCLC, 分享她的回应：,或许您或您身边的宝宝曾经被湿疹困扰，所以才会如此担忧这件事。湿疹诱因都有哪些？要涂A药还是B药，甚至洗澡哪个温度区间的洗澡水更合适，类似这些医学结论都不是拍脑袋或者妈妈群征求意见得来的，是无数的研究人员经过「长期」「大量」的临床研究证实的，文中这个研究历时16年，13557个孩子持续追踪，所以得出「纯母乳哺育至少3个月的婴儿16岁时出现湿疹的风险可能降低54%」的结论是很可靠的。如果说我对这个研究也有什么看法的话，那就是研究来的太晚，很多人没有受益，如果这个研究在中国推广，就会提高整体纯母乳喂养率，降低人群湿疹率。最后分享我的看法，治疗当下的湿疹，根据循证医学推荐的治疗方案轻微时多保湿，中重度时保湿混合糖皮质激素药膏是缓解湿疹的好方法。",2017年11月26日 10:05,FwQiAhMUl,0,,https://weibo.cn/comment/FwQiAhMUl?uid=3913489588&rl=1
3,萌兮小仙女,"建立于2017.11.26,name:orly,Nationality:韩国&美国,age:5岁,birthday:2012.4,Height:112㎝,Weight:16㎏,中国唯一微博！账号由粉丝管理Ⅱ现居中国上海Ⅱ天猫签约童模Ⅱ妈妈认证, ,  ,   , ,  ,  ,抱歉！改不了名字",2017年11月26日 10:05,FwQiB8SSV,1,,https://weibo.cn/comment/FwQiB8SSV?uid=6301422467&rl=1
40,bala_不是小魔仙,"天。。。。。。。你是要可爱死我吗[可怜][可怜][可怜][可怜][可怜][可怜][可怜] ,不是同一件，刚看了，领口长度不一样,成人款啦，童装他哪穿得下,果然还是没长大孩子 我想到了奶波 最近奶粉钱花的差不多了[摊手] 但看到这样的你我也要挤出来[允悲],儿童？,…这种五岁左右的儿童衣服都在130以内，我替我小侄女儿买过。成年人不可能穿得了谢谢！,[泪][泪][泪]啊我的宝宝[泪][泪][泪],  ,太嗲了,你真真可爱死我了[太开心],太可爱辣！,[允悲][允悲][允悲][允悲]五岁不能再多了,呜呜宝宝你要萌死阿妈吗,妈呀，我太喜欢了，睡觉也影响我追星[跪了]",2017年11月26日 09:40,FwQ8Fpm8w,118,257,https://weibo.cn/comment/FwQ8Fpm8w?rl=1
4,荔枝LaChica,"圣诞拔[羞嗒嗒]侧颜好好看，笑起来整个世界都亮了[太阳]你是我的小太阳啊[跪了] ,回复,:谢谢gn！一会去补[爱你],回复,:av3390119传送门[并不简单],回复,:志村动物园151212[兔子],gn请问下这是哪一期哇[爱你][爱你]",2017年11月25日 21:36,FwLovjOqC,33,49,https://weibo.cn/comment/FwLovjOqC?rl=1
